survivors,total_aboard,year,survival_rate
1,2,1908,0.5
0,1,1909,0.0
0,5,1912,0.0
6,49,1913,0.12244897959183673
24,60,1915,0.4
1,109,1916,0.009174311926605505
2,140,1917,0.014285714285714285
0,65,1918,0.0
-3,20,1919,-0.15
7,32,1920,0.21875
6,70,1921,0.08571428571428572
13,102,1922,0.12745098039215685
13,91,1923,0.14285714285714285
0,20,1924,0.0
29,63,1925,0.4603174603174603
27,63,1926,0.42857142857142855
17,69,1927,0.2463768115942029
21,134,1928,0.15671641791044777
45,178,1929,0.25280898876404495
42,189,1930,0.2222222222222222
19,121,1931,0.15702479338842976
13,86,1932,0.1511627906976744
31,237,1933,0.1308016877637131
35,175,1934,0.2
144,388,1935,0.3711340206185567
107,378,1936,0.2830687830687831
168,419,1937,0.4009546539379475
89,533,1938,0.1669793621013133
57,225,1939,0.25333333333333335
41,294,1940,0.13945578231292516
129,406,1941,0.31773399014778325
77,574,1942,0.13414634146341464
62,778,1943,0.07969151670951156
113,823,1944,0.13730255164034022
125,1498,1945,0.08344459279038718
322,1649,1946,0.1952698605215282
448,1762,1947,0.2542565266742338
291,1556,1948,0.1870179948586118
463,1626,1949,0.28474784747847476
351,1845,1950,0.1902439024390244
152,1410,1951,0.10780141843971631
298,1572,1952,0.1895674300254453
302,1619,1953,0.1865348980852378
188,1146,1954,0.16404886561954624
346,1259,1955,0.2748212867355044
506,1497,1956,0.3380093520374082
488,1603,1957,0.30442919525888956
390,1774,1958,0.21984216459977451
221,1362,1959,0.16226138032305434
396,2080,1960,0.19038461538461537
569,2105,1961,0.2703087885985748
465,2592,1962,0.17939814814814814
296,1699,1963,0.17422012948793408
361,1700,1964,0.21235294117647058
571,2351,1965,0.2428753721820502
291,1916,1966,0.15187891440501045
542,2110,1967,0.25687203791469193
711,2592,1968,0.2743055555555556
607,2535,1969,0.23944773175542405
698,2618,1970,0.2666157372039725
638,2422,1971,0.2634186622625929
675,3471,1972,0.1944684528954192
1002,3325,1973,0.3013533834586466
636,2878,1974,0.22098679638637944
707,2167,1975,0.3262574988463313
645,2487,1976,0.25934861278648974
538,2640,1977,0.2037878787878788
1142,2586,1978,0.44160866202629545
486,2324,1979,0.20912220309810672
915,2632,1980,0.3476443768996961
334,1502,1981,0.22237017310252996
1656,3364,1982,0.49227110582639716
750,2314,1983,0.324114088159032
458,1379,1984,0.3321247280638144
797,3387,1985,0.2353114850900502
1028,2433,1986,0.4225236333744349
354,1986,1987,0.1782477341389728
992,2937,1988,0.3377596186584951
1349,3559,1989,0.37903905591458276
1079,2204,1990,0.4895644283121597
612,2337,1991,0.26187419768934533
834,2846,1992,0.29304286718200984
821,2329,1993,0.35251180764276513
1218,3024,1994,0.4027777777777778
447,1938,1995,0.2306501547987616
669,2983,1996,0.22427086825343615
806,2438,1997,0.3305988515176374
465,1973,1998,0.23568170299037
2017,2880,1999,0.7003472222222222
913,2343,2000,0.38967136150234744
704,2040,2001,0.34509803921568627
344,1715,2002,0.20058309037900873
231,1510,2003,0.15298013245033112
215,877,2004,0.2451539338654504
857,2151,2005,0.398419339841934
256,1374,2006,0.18631732168850074
577,1465,2007,0.3938566552901024
750,1463,2008,0.5126452494873548
534,1617,2009,0.3302411873840445
425,1469,2010,0.2893124574540504
264,984,2011,0.2682926829268293
108,695,2012,0.1553956834532374
495,782,2013,0.6329923273657289
34,1176,2014,0.02891156462585034
37,796,2015,0.04648241206030151
388,903,2016,0.42967884828349945
31,245,2017,0.12653061224489795
365,1239,2018,0.29459241323648105
127,432,2019,0.29398148148148145
348,703,2020,0.4950213371266003
49,227,2021,0.21585903083700442
